Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
Allegheny Center,1,1144,182,603,132,365,191,0,10,112,73,0,10,0,10,64,49,0,10,64,49
Allegheny West,2,340,103,278,87,25,22,0,10,0,10,0,10,0,10,37,32,0,10,37,32
Allentown,3,2624.0,499.013025882,1438.0,350.058566529,1005.0,466.086901768,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,7.0,19.8997487421,174.0,132.815661727,0.0,17.3205080757,174.0,132.815661727
Arlington,4,1900.0,369.135476485,1476.0,297.887562681,408.0,234.618839824,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,16.0,26.3058928759,0.0,17.3205080757,16.0,26.3058928759
Arlington Heights,5,380,196,69,89,275,191,0,10,0,10,0,10,0,10,36,57,0,10,36,57
Banksville,6,4132.0,504.457133957,3328.0,438.085608072,242.0,159.163438013,21.0,27.3678643668,358.0,275.365212037,0.0,20.0,0.0,20.0,183.0,163.04293913,24.0,39.9499687109,159.0,160.118705965
Bedford Dwellings,7,1175,170,28,36,1101,175,37,59,9,14,0,10,0,10,0,10,0,10,0,10
Beechview,8,8227.0,765.057514179,6609.0,676.677175617,1094.0,340.396827248,6.0,31.6227766016,108.0,133.184083133,0.0,31.6227766016,71.0,82.1279489578,339.0,167.43058263,27.0,41.6173040933,312.0,165.012120767
Beltzhoover,9,1911.0,347.266468292,109.0,81.9573059587,1584.0,337.013352851,0.0,20.0,35.0,55.7584074378,0.0,20.0,54.0,85.7671265696,129.0,80.4487414445,0.0,20.0,129.0,80.4487414445
Bloomfield,10,8794.0,537.620684124,7488.0,510.951073979,735.0,234.951058733,17.0,34.7850542618,432.0,139.59584521,0.0,31.6227766016,2.0,30.2654919009,120.0,56.9736781331,0.0,31.6227766016,120.0,56.9736781331
